Player,Age,Salary,Games,Points,Rebounds,Assists,Turnovers,Steals,Blocks,League
DeWanna Bonner,36.0,234350.0,40.0,696.0,224.0,88.0,60.0,44.0,24.0,WNBA
Dearica Hamby,30.0,169000.0,40.0,356.0,236.0,72.0,60.0,36.0,12.0,WNBA
Destanni Henderson,25.0,19768.0,15.0,57.0,12.0,27.0,13.5,7.5,1.5,WNBA
DiJonai Carrington,26.0,69053.0,32.0,265.6,92.8,41.6,35.2,19.2,3.2,WNBA
Diamond Miller,23.0,74305.0,32.0,387.2,112.0,80.0,73.6,28.8,9.6,WNBA
Diana Taurasi,41.0,234936.0,26.0,416.0,93.6,119.6,78.0,13.0,13.0,WNBA
Dorka Juhász,24.0,65290.0,38.0,228.0,247.0,98.8,45.6,34.2,22.8,WNBA
Dulcy Fankam Mendjiadeu,24.0,65290.0,33.0,135.3,148.5,13.2,29.7,13.2,9.9,WNBA
Elena Delle Donne,34.0,234350.0,23.0,384.1,124.2,48.3,29.9,18.4,20.7,WNBA
Elizabeth Williams,30.0,135000.0,40.0,392.0,232.0,100.0,56.0,52.0,60.0,WNBA
Emily Engstler,24.0,20310.0,12.0,21.6,28.8,7.2,9.6,4.8,1.2,WNBA
Emma Cannon,35.0,80000.0,30.0,174.0,93.0,15.0,33.0,3.0,3.0,WNBA
Epiphanny Prince,36.0,27622.0,10.0,18.0,6.0,8.0,7.0,2.0,1.0,WNBA
Erica Wheeler,33.0,242154.0,40.0,396.0,120.0,200.0,84.0,44.0,4.0,WNBA
Evina Westbrook,25.0,37099.0,18.0,19.8,16.2,10.8,10.8,3.6,3.6,WNBA
Ezi Magbegor,24.0,159650.0,40.0,552.0,324.0,104.0,96.0,44.0,76.0,WNBA
Gabby Williams,27.0,100000.0,10.0,84.0,36.0,38.0,22.0,15.0,4.0,WNBA
Grace Berger,25.0,71300.0,36.0,151.2,57.6,68.4,36.0,18.0,7.2,WNBA
Haley Jones,23.0,71300.0,40.0,148.0,96.0,92.0,56.0,16.0,12.0,WNBA
Han Xu,24.0,62285.0,8.0,12.0,7.2,0.0,4.8,2.4,0.8,WNBA
Iliana Rupert,22.0,67634.0,20.0,36.0,40.0,10.0,10.0,8.0,8.0,WNBA
Ivana Dojkic,26.0,46758.0,23.0,149.5,39.1,64.4,34.5,18.4,4.6,WNBA
Jackie Young,26.0,165000.0,40.0,704.0,160.0,152.0,72.0,52.0,4.0,WNBA
Jade Melbourne,21.0,62285.0,29.0,75.4,34.8,34.8,26.1,11.6,0.0,WNBA
Jasmine Dickey,24.0,23289.0,14.0,29.4,11.2,1.4,5.6,4.2,1.4,WNBA
Jasmine Thomas,34.0,190000.0,32.0,86.4,35.2,41.6,22.4,9.6,6.4,WNBA
Jennie Simms,30.0,18279.0,6.0,13.2,13.2,3.0,6.0,1.8,0.0,WNBA
Jessica Shepard,27.0,120000.0,21.0,170.1,149.1,67.2,29.4,12.6,2.1,WNBA
Jewell Loyd,30.0,234936.0,38.0,938.6,178.6,129.2,106.4,38.0,15.2,WNBA
Jocelyn Willoughby,26.0,79690.0,29.0,34.8,23.2,11.6,8.7,2.9,0.0,WNBA
Jonquel Jones,30.0,211150.0,40.0,452.0,336.0,72.0,84.0,24.0,52.0,WNBA
Jordan Horston,23.0,68295.0,36.0,248.4,183.6,57.6,72.0,43.2,21.6,WNBA
Jordin Canada,28.0,74305.0,38.0,505.4,117.8,228.0,102.6,87.4,7.6,WNBA
Joyner Holmes,26.0,74305.0,34.0,112.2,85.0,27.2,20.4,10.2,10.2,WNBA
Kadi Sissoko,25.0,62285.0,40.0,2360.0,2480.0,320.0,1040.0,120.0,200.0,WNBA
Kahleah Copper,29.0,205000.0,38.0,710.6,167.2,76.0,95.0,34.2,11.4,WNBA
